,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier
,Logistic Regression,0.8,0.25,0.03,94.98094028,94.14814815,100,44.53621347,2
,Logistic Regression,0.8,0.3,0.03,94.91740788,94.0784604,100,46.31512071,2
,Logistic Regression,0.8,0.4,0.03,95.7433291,94.99252616,100,54.82846252,2
,Logistic Regression,0.8,0.1,0.05,93.26556544,92.42534596,99.84264359,33.10038119,2
,Logistic Regression,0.8,0.15,0.05,94.79034307,94.00444115,99.92132179,40.27954257,2
,Logistic Regression,0.8,0.2,0.05,94.91740788,94.0784604,100,41.613723,2
,Logistic Regression,0.8,0.25,0.05,94.91740788,94.0784604,100,45.04447268,2
,Logistic Regression,0.8,0.3,0.05,94.85387548,94.00887574,100,46.56925032,2
,Logistic Regression,0.8,0.4,0.05,96.06099111,95.34883721,100,56.54383736,2
,Logistic Regression,0.8,0.1,0.08,93.13850064,92.29090909,99.84264359,32.52858958,2
,Logistic Regression,0.8,0.15,0.08,94.72681067,93.87001477,100,40.85133418,2
,Logistic Regression,0.8,0.2,0.08,95.04447268,94.21793921,100,43.26556544,2
,Logistic Regression,0.8,0.25,0.08,94.98094028,94.14814815,100,46.37865311,2
,Logistic Regression,0.8,0.3,0.08,94.79034307,93.93939394,100,46.56925032,2
,Logistic Regression,0.8,0.4,0.08,95.9339263,95.20599251,100,55.97204574,2
,Logistic Regression,0.8,0.1,0.1,93.20203304,92.3580786,99.84264359,34.18043202,2
,Logistic Regression,0.8,0.15,0.1,94.91740788,94.0784604,100,41.93138501,2
,Logistic Regression,0.8,0.2,0.1,95.10800508,94.28783383,100,43.32909784,2
,Logistic Regression,0.8,0.25,0.1,95.23506989,94.42793462,100,47.33163914,2
,Logistic Regression,0.8,0.3,0.1,94.91740788,94.0784604,100,47.33163914,2
,Logistic Regression,0.8,0.4,0.1,95.9974587,95.27736132,100,57.24269377,2
,Logistic Regression,0.8,0.1,0.15,93.20203304,92.3580786,99.84264359,35.95933926,2
,Logistic Regression,0.8,0.15,0.15,94.98094028,94.14814815,100,42.82083863,2
,Logistic Regression,0.8,0.2,0.15,95.23506989,94.42793462,100,45.29860229,2
,Logistic Regression,0.8,0.25,0.15,95.29860229,94.49814126,100,47.90343075,2
,Logistic Regression,0.8,0.3,0.15,94.91740788,94.0784604,100,47.90343075,2
,Logistic Regression,0.8,0.4,0.15,96.06099111,95.34883721,100,57.81448539,2
,Logistic Regression,0.85,0.1,0.01,94.47268107,93.65781711,99.92132179,39.96188056,2
,Logistic Regression,0.85,0.15,0.01,95.7433291,94.99252616,100,49.04701398,2
,Logistic Regression,0.85,0.2,0.01,95.6797967,94.92158327,100,49.11054638,2
,Logistic Regression,0.85,0.25,0.01,96.06099111,95.34883721,100,51.84243964,2
,Logistic Regression,0.85,0.3,0.01,96.12452351,95.42042042,100,53.74841169,2
,Logistic Regression,0.85,0.4,0.01,96.37865311,95.84592145,99.84264359,60.29224905,2
,Logistic Regression,0.85,0.1,0.03,95.36213469,94.56845238,100,43.96442186,2
,Logistic Regression,0.85,0.15,0.03,95.8703939,95.13473054,100,51.01651842,2
,Logistic Regression,0.85,0.2,0.03,95.8703939,95.13473054,100,50.31766201,2
,Logistic Regression,0.85,0.25,0.03,96.18805591,95.49211119,100,54.0025413,2
,Logistic Regression,0.85,0.3,0.03,96.37865311,95.70783133,100,55.27318933,2
,Logistic Regression,0.85,0.4,0.03,96.56925032,95.9245283,100,61.11817027,2
,Logistic Regression,0.85,0.1,0.05,95.36213469,94.56845238,100,45.8068615,2
,Logistic Regression,0.85,0.15,0.05,96.06099111,95.34883721,100,51.96950445,2
,Logistic Regression,0.85,0.2,0.05,95.8068615,95.06357517,100,51.39771283,2
,Logistic Regression,0.85,0.25,0.05,96.25158831,95.56390977,100,53.87547649,2
,Logistic Regression,0.85,0.3,0.05,96.12452351,95.42042042,100,55.90851334,2
