,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
141,Decision Tree,0.95,0.25,0.15,85.05897772,58.92857143,49.25373134,24.9017038,Decision Tree
142,Decision Tree,0.95,0.3,0.15,85.19003932,58.82352941,52.23880597,29.88204456,Decision Tree
143,Decision Tree,0.95,0.4,0.15,86.76277851,63.86554622,56.71641791,39.97378768,Decision Tree
144,Decision Tree,0.99,0.1,0.01,81.65137615,47.27272727,38.80597015,9.96068152,Decision Tree
145,Decision Tree,0.99,0.15,0.01,84.01048493,55.45454545,45.52238806,14.94102228,Decision Tree
146,Decision Tree,0.99,0.2,0.01,85.05897772,58.62068966,50.74626866,19.92136304,Decision Tree
147,Decision Tree,0.99,0.25,0.01,83.35517693,52.75590551,50,24.9017038,Decision Tree
148,Decision Tree,0.99,0.3,0.01,84.40366972,56.41025641,49.25373134,29.88204456,Decision Tree
149,Decision Tree,0.99,0.4,0.01,87.2870249,65.2892562,58.95522388,39.97378768,Decision Tree
150,Decision Tree,0.99,0.1,0.03,81.25819135,46.08695652,39.55223881,9.96068152,Decision Tree
151,Decision Tree,0.99,0.15,0.03,83.74836173,54.71698113,43.28358209,14.94102228,Decision Tree
152,Decision Tree,0.99,0.2,0.03,83.22411533,52.45901639,47.76119403,19.92136304,Decision Tree
153,Decision Tree,0.99,0.25,0.03,84.01048493,54.83870968,50.74626866,24.9017038,Decision Tree
154,Decision Tree,0.99,0.3,0.03,84.92791612,57.48031496,54.47761194,29.88204456,Decision Tree
155,Decision Tree,0.99,0.4,0.03,86.36959371,61.71875,58.95522388,39.97378768,Decision Tree
156,Decision Tree,0.99,0.1,0.05,81.25819135,46.08695652,39.55223881,9.96068152,Decision Tree
157,Decision Tree,0.99,0.15,0.05,84.01048493,54.91803279,50,14.94102228,Decision Tree
158,Decision Tree,0.99,0.2,0.05,85.45216252,60,51.49253731,19.92136304,Decision Tree
159,Decision Tree,0.99,0.25,0.05,85.19003932,59.13043478,50.74626866,24.9017038,Decision Tree
160,Decision Tree,0.99,0.3,0.05,86.10747051,62.96296296,50.74626866,29.88204456,Decision Tree
161,Decision Tree,0.99,0.4,0.05,86.10747051,61.11111111,57.46268657,39.97378768,Decision Tree
162,Decision Tree,0.99,0.1,0.08,80.20969856,42.34234234,35.07462687,9.96068152,Decision Tree
163,Decision Tree,0.99,0.15,0.08,83.61730013,54.36893204,41.79104478,14.94102228,Decision Tree
164,Decision Tree,0.99,0.2,0.08,84.01048493,55.17241379,47.76119403,19.92136304,Decision Tree
165,Decision Tree,0.99,0.25,0.08,85.71428571,61.26126126,50.74626866,24.9017038,Decision Tree
166,Decision Tree,0.99,0.3,0.08,84.01048493,54.83870968,50.74626866,29.88204456,Decision Tree
167,Decision Tree,0.99,0.4,0.08,86.50065531,62.01550388,59.70149254,39.97378768,Decision Tree
168,Decision Tree,0.99,0.1,0.1,81.25819135,46.08695652,39.55223881,9.96068152,Decision Tree
169,Decision Tree,0.99,0.15,0.1,83.35517693,53.15315315,44.02985075,14.94102228,Decision Tree
170,Decision Tree,0.99,0.2,0.1,85.19003932,59.2920354,50,19.92136304,Decision Tree
171,Decision Tree,0.99,0.25,0.1,84.27260813,55.64516129,51.49253731,24.9017038,Decision Tree
172,Decision Tree,0.99,0.3,0.1,86.10747051,62.28070175,52.98507463,29.88204456,Decision Tree
173,Decision Tree,0.99,0.4,0.1,86.76277851,62.79069767,60.44776119,39.97378768,Decision Tree
174,Decision Tree,0.99,0.1,0.15,80.99606815,45.66929134,43.28358209,9.96068152,Decision Tree
175,Decision Tree,0.99,0.15,0.15,84.01048493,55.08474576,48.50746269,14.94102228,Decision Tree
176,Decision Tree,0.99,0.2,0.15,84.66579292,57.26495726,50,19.92136304,Decision Tree
177,Decision Tree,0.99,0.25,0.15,84.66579292,57.02479339,51.49253731,24.9017038,Decision Tree
178,Decision Tree,0.99,0.3,0.15,85.05897772,57.69230769,55.97014925,29.88204456,Decision Tree
179,Decision Tree,0.99,0.4,0.15,85.97640891,60.62992126,57.46268657,39.97378768,Decision Tree
