model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier,dt_label_99_60,dt_label_96_40
Logistic Regression,0.8,0.15,0.08,95.40173053,94.99816109,98.10102545,40.64276885,2,0,0
Logistic Regression,0.8,0.2,0.08,95.42645241,95.09948416,98.02506646,44.15327565,2,0,0
Logistic Regression,0.8,0.25,0.08,96.51421508,96.04582409,98.7086973,49.76514215,2,0,0
Logistic Regression,0.8,0.3,0.08,96.26699629,95.82717873,98.55677934,51.74289246,2,0,0
Logistic Regression,0.8,0.4,0.08,96.1433869,95.78558226,98.40486137,57.62669963,2,0,0
Logistic Regression,0.8,0.1,0.1,95.2039555,95.0166113,97.75921003,36.83559951,2,0,0
Logistic Regression,0.8,0.15,0.1,95.05562423,94.57676805,98.02506646,39.55500618,2,0,0
Logistic Regression,0.8,0.2,0.1,95.25339926,94.88782641,97.98708697,44.40049444,2,0,0
Logistic Regression,0.8,0.25,0.1,96.58838072,96.15242323,98.7086973,49.64153276,2,0,0
Logistic Regression,0.8,0.3,0.1,96.34116193,95.93345656,98.55677934,51.96538937,2,0,0
Logistic Regression,0.8,0.4,0.1,96.63782447,96.29217649,98.63273832,60.29666255,2,0,0
Logistic Regression,0.8,0.1,0.15,95.2039555,95.0166113,97.75921003,37.05809642,2,0,0
Logistic Regression,0.8,0.15,0.15,95.45117429,95.16783475,97.98708697,40.84054388,2,0,0
Logistic Regression,0.8,0.2,0.15,95.40173053,95.09767785,97.98708697,46.10630408,2,0,0
Logistic Regression,0.8,0.25,0.15,96.66254635,96.1908284,98.78465629,50.13597033,2,0,0
Logistic Regression,0.8,0.3,0.15,96.46477132,96.07698001,98.59475883,52.48454883,2,0,0
Logistic Regression,0.8,0.4,0.15,96.51421508,96.21661721,98.51879985,59.38195303,2,0,0
Logistic Regression,0.85,0.1,0.01,95.94561187,95.63770795,98.25294341,40.96415328,2,0,0
Logistic Regression,0.85,0.15,0.01,95.84672435,95.46292881,98.2909229,43.88133498,2,0,0
Logistic Regression,0.85,0.2,0.01,96.6131026,96.32516704,98.55677934,49.09765142,2,0,0
Logistic Regression,0.85,0.25,0.01,97.08281829,96.66048237,98.93657425,52.90482077,2,0,0
Logistic Regression,0.85,0.3,0.01,96.53893696,96.18377177,98.59475883,54.11619283,2,0,0
Logistic Regression,0.85,0.4,0.01,96.76143387,96.43652561,98.67071781,60.27194067,2,0,0
Logistic Regression,0.85,0.1,0.03,96.44004944,96.24674842,98.36688188,43.43634116,2,0,0
Logistic Regression,0.85,0.15,0.03,96.86032138,96.57992565,98.67071781,47.73794808,2,0,0
Logistic Regression,0.85,0.2,0.03,96.41532756,96.07407407,98.51879985,49.07292954,2,0,0
Logistic Regression,0.85,0.25,0.03,97.15698393,96.76820208,98.93657425,53.32509271,2,0,0
Logistic Regression,0.85,0.3,0.03,96.88504326,96.51205937,98.78465629,55.08034611,2,0,0
Logistic Regression,0.85,0.4,0.03,96.86032138,96.61458333,98.63273832,60.815822,2,0,0
Logistic Regression,0.85,0.1,0.05,96.9592089,96.72375279,98.67071781,45.41409147,2,0,0
Logistic Regression,0.85,0.15,0.05,96.76143387,96.43652561,98.67071781,47.09517923,2,0,0
Logistic Regression,0.85,0.2,0.05,96.78615575,96.47233569,98.67071781,50.5315204,2,0,0
