,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
136,SVM,0.95,0.3,0.1,99.8689384,99.25925926,100,99.34469201,SVM
137,SVM,0.95,0.4,0.1,99.8689384,99.25925926,100,99.6068152,SVM
138,SVM,0.95,0.1,0.15,99.8689384,99.25925926,100,98.16513761,SVM
139,SVM,0.95,0.15,0.15,99.8689384,99.25925926,100,99.4757536,SVM
140,SVM,0.95,0.2,0.15,100,100,100,100,SVM
141,SVM,0.95,0.25,0.15,99.8689384,99.25925926,100,99.7378768,SVM
142,SVM,0.95,0.3,0.15,99.7378768,98.52941176,100,99.34469201,SVM
143,SVM,0.95,0.4,0.15,100,100,100,99.8689384,SVM
144,SVM,0.99,0.1,0.01,100,100,100,100,SVM
145,SVM,0.99,0.15,0.01,100,100,100,100,SVM
146,SVM,0.99,0.2,0.01,100,100,100,100,SVM
147,SVM,0.99,0.25,0.01,100,100,100,100,SVM
148,SVM,0.99,0.3,0.01,100,100,100,100,SVM
149,SVM,0.99,0.4,0.01,100,100,100,100,SVM
150,SVM,0.99,0.1,0.03,100,100,100,100,SVM
151,SVM,0.99,0.15,0.03,100,100,100,100,SVM
152,SVM,0.99,0.2,0.03,100,100,100,100,SVM
153,SVM,0.99,0.25,0.03,100,100,100,100,SVM
154,SVM,0.99,0.3,0.03,100,100,100,100,SVM
155,SVM,0.99,0.4,0.03,100,100,100,100,SVM
156,SVM,0.99,0.1,0.05,100,100,100,100,SVM
157,SVM,0.99,0.15,0.05,100,100,100,100,SVM
158,SVM,0.99,0.2,0.05,100,100,100,100,SVM
159,SVM,0.99,0.25,0.05,100,100,100,100,SVM
160,SVM,0.99,0.3,0.05,100,100,100,100,SVM
161,SVM,0.99,0.4,0.05,100,100,100,100,SVM
162,SVM,0.99,0.1,0.08,100,100,100,100,SVM
163,SVM,0.99,0.15,0.08,100,100,100,100,SVM
164,SVM,0.99,0.2,0.08,100,100,100,100,SVM
165,SVM,0.99,0.25,0.08,100,100,100,100,SVM
166,SVM,0.99,0.3,0.08,100,100,100,100,SVM
167,SVM,0.99,0.4,0.08,100,100,100,100,SVM
168,SVM,0.99,0.1,0.1,100,100,100,100,SVM
169,SVM,0.99,0.15,0.1,100,100,100,100,SVM
170,SVM,0.99,0.2,0.1,100,100,100,100,SVM
171,SVM,0.99,0.25,0.1,100,100,100,100,SVM
172,SVM,0.99,0.3,0.1,100,100,100,100,SVM
173,SVM,0.99,0.4,0.1,100,100,100,100,SVM
174,SVM,0.99,0.1,0.15,100,100,100,100,SVM
175,SVM,0.99,0.15,0.15,100,100,100,100,SVM
176,SVM,0.99,0.2,0.15,100,100,100,100,SVM
177,SVM,0.99,0.25,0.15,100,100,100,100,SVM
178,SVM,0.99,0.3,0.15,100,100,100,100,SVM
179,SVM,0.99,0.4,0.15,100,100,100,100,SVM
